"word","translation","pronunciation","category","example","exampleTranslation"
"Chante avec moi","Sing with me","/ʃɑ̃t.a.vɛk.mwa/","Le Temps - Time (Phrases)","Chante avec moi pendant la nuit étoilée.","Sing with me during the starry night."
"Chante doucement","Sing softly","/ʃɑ̃t.dus.mɑ̃/","Le Temps - Time (Phrases)","Chante doucement dans l’après-midi calme.","Sing softly in the calm afternoon."
"Chante en chœur","Sing in chorus","/ʃɑ̃t.ɑ̃.kœʁ/","Le Temps - Time (Phrases)","Chante en chœur pendant la semaine scolaire.","Sing in chorus during the school week."
"Chante fort","Sing loudly","/ʃɑ̃t.fɔʁ/","Le Temps - Time (Phrases)","Chante fort ce soir pour célébrer l’année.","Sing loudly this evening to celebrate the year."
"Chante librement","Sing freely","/ʃɑ̃t.li.bʁə.mɑ̃/","Le Temps - Time (Phrases)","Chante librement chaque jour de l’année.","Sing freely every day of the year."
"Chante pour nous","Sing for us","/ʃɑ̃t.puʁ.nu/","Le Temps - Time (Phrases)","Chante pour nous ce soir à la fête.","Sing for us this evening at the party."
"Chante sous la pluie","Sing in the rain","/ʃɑ̃t.su.la.plɥi/","Le Temps - Time (Phrases)","Chante sous la pluie ce matin d’automne.","Sing in the rain this autumn morning."
"Chante une chanson","Sing a song","/ʃɑ̃t.yn.ʃɑ̃.sɔ̃/","Le Temps - Time (Phrases)","Chante une chanson chaque matin.","Sing a song every morning."
"l’emploi","job","/lɑ̃ˈplwa/","Le Travail - Work","L’emploi offre un bon salaire pour une longue carrière.","The job offers a good salary for a long career."
"la carrière","career","/la kaˈʁjɛːʁ/","Le Travail - Work","Le salaire soutient la carrière de mon collègue.","The salary supports my colleague’s career."
"la réunion","meeting","/la ʁeyˈnjɔ̃/","Le Travail - Work","La réunion concerne le projet dans le bureau.","The meeting is about the project in the office."
"le bureau","office","/lə byˈʁo/","Le Travail - Work","Le travail dans le bureau est intense cette semaine.","Work in the office is intense this week."
"le collègue","colleague","/lə kɔˈlɛɡ/","Le Travail - Work","Le collègue organise la réunion pour discuter du projet.","The colleague organizes the meeting to discuss the project."
"le projet","project","/lə pʁoˈʒɛ/","Le Travail - Work","Le collègue organise la réunion pour discuter du projet.","The colleague organizes the meeting to discuss the project."
"le salaire","salary","/lə saˈlɛːʁ/","Le Travail - Work","L’emploi offre un bon salaire pour une longue carrière.","The job offers a good salary for a long career."
"le travail","work","/lə tʁaˈvaj/","Le Travail - Work","Le travail dans le bureau est intense cette semaine.","Work in the office is intense this week."
"Suis l’horizon","Follow the horizon","/sɥi.lɔ.ʁi.zɔ̃/","Le Travail - Work (Phrases)","Suis l’horizon pour planifier le projet.","Follow the horizon to plan the project."
"Suis la foule","Follow the crowd","/sɥi.la.ful/","Le Travail - Work (Phrases)","Suis la foule pour découvrir le travail d’équipe.","Follow the crowd to discover teamwork."
"Suis la lumière","Follow the light","/sɥi.la.ly.mjɛʁ/","Le Travail - Work (Phrases)","Suis la lumière pour trouver des idées au bureau.","Follow the light to find ideas in the office."
"Suis le courant","Follow the flow","/sɥi.lə.ku.ʁɑ̃/","Le Travail - Work (Phrases)","Suis le courant pour gérer le projet.","Follow the flow to manage the project."
"Suis tes instincts","Follow your instincts","/sɥi.tez.ɛ̃s.tɛ̃/","Le Travail - Work (Phrases)","Suis tes instincts lors de la réunion.","Follow your instincts during the meeting."
"Suis tes rêves","Follow your dreams","/sɥi.te.ʁɛv/","Le Travail - Work (Phrases)","Suis tes rêves pour bâtir une carrière.","Follow your dreams to build a career."
"Suis ton chemin","Follow your path","/sɥi.tɔ̃.ʃə.mɛ̃/","Le Travail - Work (Phrases)","Suis ton chemin pour réussir dans ta carrière.","Follow your path to succeed in your career."
"Suis ton étoile","Follow your star","/sɥi.tɔ̃.e.twal/","Le Travail - Work (Phrases)","Suis ton étoile pour avancer dans l’emploi.","Follow your star to progress in the job."
"l’avion","airplane","/laˈvjɔ̃/","Le Voyage - Travel","Le billet pour l’avion est dans la valise.","The ticket for the airplane is in the suitcase."
"l’hôtel","hotel","/loˈtɛl/","Le Voyage - Travel","J’ai oublié mon passeport dans la valise à l’hôtel.","I forgot my passport in the suitcase at the hotel."
"la carte","map","/la kaʁt/","Le Voyage - Travel","Nous prenons le train avec la carte pour visiter le musée.","We take the train with the map to visit the museum."
"la valise","suitcase","/la vaˈliz/","Le Voyage - Travel","Le billet pour l’avion est dans la valise.","The ticket for the airplane is in the suitcase."
"le billet","ticket","/lə biˈjɛ/","Le Voyage - Travel","Le voyage à la plage nécessite le billet d’avion.","The trip to the beach requires an airplane ticket."
"le passeport","passport","/lə pasˈpɔːʁ/","Le Voyage - Travel","J’ai oublié mon passeport dans la valise à l’hôtel.","I forgot my passport in the suitcase at the hotel."
"le train","train","/lə tʁɛ̃/","Le Voyage - Travel","Nous prenons le train avec la carte pour visiter le musée.","We take the train with the map to visit the museum."
"le voyage","travel/trip","/lə vwaˈjaːʒ/","Le Voyage - Travel","Le voyage à la plage nécessite le billet d’avion.","The trip to the beach requires an airplane ticket."
"Regarde attentivement","Look carefully","/ʁə.ɡaʁd.a.tɑ̃.tiv.mɑ̃/","Le Voyage - Travel (Phrases)","Regarde attentivement le passeport.","Look carefully at the passport."
"Regarde autour","Look around","/ʁə.ɡaʁd.o.tuʁ/","Le Voyage - Travel (Phrases)","Regarde autour dans le musée.","Look around in the museum."
"Regarde bien","Look closely","/ʁə.ɡaʁd.bjɛ̃/","Le Voyage - Travel (Phrases)","Regarde bien la carte avant de partir.","Look closely at the map before leaving."
"Regarde ça","Look at this","/ʁə.ɡaʁd.sa/","Le Voyage - Travel (Phrases)","Regarde ça, le billet est déjà prêt.","Look at this, the ticket is already ready."
"Regarde dehors","Look outside","/ʁə.ɡaʁd.də.ɔʁ/","Le Voyage - Travel (Phrases)","Regarde dehors depuis l’hôtel.","Look outside from the hotel."
"Regarde derrière","Look behind","/ʁə.ɡaʁd.de.ʁjɛʁ/","Le Voyage - Travel (Phrases)","Regarde derrière pour vérifier la valise.","Look behind to check the suitcase."
"Regarde devant","Look ahead","/ʁə.ɡaʁd.də.vɑ̃/","Le Voyage - Travel (Phrases)","Regarde devant pour voir la plage.","Look ahead to see the beach."
"Regarde là-haut","Look up there","/ʁə.ɡaʁd.la.o/","Le Voyage - Travel (Phrases)","Regarde là-haut, l’avion passe !","Look up there, the airplane is passing!"
"l’animal","animal","/laˈniˈmal/","Les Animaux - Animals  ","L’animal préféré des enfants est souvent le chien.","The favorite animal of children is often the dog."
"l’oiseau","bird","/lwaˈzo/","Les Animaux - Animals  ","L’oiseau chante près de le chien dans le jardin.","The bird sings near the dog in the garden."
"la vache","cow","/la vaʃ/","Les Animaux - Animals  ","La vache vit dans un champ loin du lion.","The cow lives in a field far from the lion."
"le chat","cat","/lə ʃa/","Les Animaux - Animals  ","Le chat dort près de l’oiseau en cage.","The cat sleeps near the bird in a cage."
"le cheval","horse","/lə ʃəˈval/","Les Animaux - Animals  ","Le poisson nage dans l’aquarium avec le cheval en peinture.","The fish swims in the aquarium with a horse in a painting."
"le chien","dog","/lə ʃjɛ̃/","Les Animaux - Animals  ","L’animal préféré des enfants est souvent le chien.","The favorite animal of children is often the dog."
"le lion","lion","/lə ljɔ̃/","Les Animaux - Animals  ","La vache vit dans un champ loin du lion.","The cow lives in a field far from the lion."
"le poisson","fish","/lə pwaˈsɔ̃/","Les Animaux - Animals  ","Le poisson nage dans l’aquarium avec le cheval en peinture.","The fish swims in the aquarium with a horse in a painting."
"Parle avec cœur","Speak with heart","/paʁl.a.vɛk.kœʁ/","Les Animaux - Animals (Phrases)","Parle avec cœur pour toucher les autres.","Speak with heart to touch others."
"Parle d’amour","Speak of love","/paʁl.da.muʁ/","Les Animaux - Animals (Phrases)","Il aime parle d’amour dans ses chansons.","He likes to speak of love in his songs."
"Parle de toi","Speak about yourself","/paʁl.də.twa/","Les Animaux - Animals (Phrases)","N’hésite pas à parle de toi à tes amis.","Don’t hesitate to speak about yourself to your friends."
"Parle doucement","Speak softly","/paʁl.dus.mɑ̃/","Les Animaux - Animals (Phrases)","Avec les enfants, il faut parle doucement.","With children, you have to speak softly."
"Parle en secret","Speak in secret","/paʁl.ɑ̃.sə.ɡʁɛ/","Les Animaux - Animals (Phrases)","Ils se réunissent pour parle en secret.","They meet to speak in secret."
"Parle franchement","Speak frankly","/paʁl.fʁɑ̃ʃ.mɑ̃/","Les Animaux - Animals (Phrases)","Parle franchement pour éviter les malentendus.","Speak frankly to avoid misunderstandings."
"Parle plus fort","Speak louder","/paʁl.ply.fɔʁ/","Les Animaux - Animals (Phrases)","Dans une grande salle, il faut parle plus fort.","In a large hall, you have to speak louder."
"Parle sans crainte","Speak without fear","/paʁl.sɑ̃.kʁɛ̃t/","Les Animaux - Animals (Phrases)","Parle sans crainte de ce que tu ressens.","Speak without fear about what you feel."
"la couleur","color","/la kuˈlœːʁ/","Les Couleurs - Colors  ","La couleur préférée de la robe est le rouge.","The favorite color of the dress is red."
"le blanc","white","/lə blɑ̃/","Les Couleurs - Colors  ","J’aime le jaune des fleurs et le blanc des murs.","I love the yellow of flowers and the white of walls."
"le bleu","blue","/lə blø/","Les Couleurs - Colors  ","Le bleu du ciel va bien avec le vert des arbres.","The blue of the sky goes well with the green of the trees."
"le jaune","yellow","/lə ʒon/","Les Couleurs - Colors  ","J’aime le jaune des fleurs et le blanc des murs.","I love the yellow of flowers and the white of walls."
"le noir","black","/lə nwaːʁ/","Les Couleurs - Colors  ","Le noir de la voiture contraste avec le rose des fleurs.","The black of the car contrasts with the pink of flowers."
"le rose","pink","/lə ʁoz/","Les Couleurs - Colors  ","Le noir de la voiture contraste avec le rose des fleurs.","The black of the car contrasts with the pink of flowers."
"le rouge","red","/lə ʁuːʒ/","Les Couleurs - Colors  ","La couleur le rouge domine dans la peinture.","The color red dominates in the painting."
"le vert","green","/lə vɛːʁ/","Les Couleurs - Colors  ","Le bleu du ciel va bien avec le vert des arbres.","The blue of the sky goes well with the green of the trees."
"Cherche avec patience","Search with patience","/ʃɛʁʃ.a.vɛk.pa.sjɑ̃s/","Les Couleurs - Colors (Phrases)","Pour réussir, cherche avec patience et persévérance.","To succeed, search with patience and perseverance."
"Cherche dans ton cœur","Search in your heart","/ʃɛʁʃ.dɑ̃.tɔ̃.kœʁ/","Les Couleurs - Colors (Phrases)","Quand tu es perdu, cherche dans ton cœur.","When you are lost, search in your heart."
"Cherche l’aventure","Search for adventure","/ʃɛʁʃ.la.vɑ̃.tyʁ/","Les Couleurs - Colors (Phrases)","Voyage et cherche l’aventure partout.","Travel and search for adventure everywhere."
"Cherche l’inspiration","Search for inspiration","/ʃɛʁʃ.lɛ̃s.pi.ʁa.sjɔ̃/","Les Couleurs - Colors (Phrases)","L’artiste cherche l’inspiration dans la nature.","The artist searches for inspiration in nature."
"Cherche la vérité","Search for the truth","/ʃɛʁʃ.la.ve.ʁi.te/","Les Couleurs - Colors (Phrases)","Toujours cherche la vérité dans chaque situation.","Always search for the truth in every situation."
"Cherche le bonheur","Search for happiness","/ʃɛʁʃ.lə.bɔ.nœʁ/","Les Couleurs - Colors (Phrases)","Cherche le bonheur dans les petites choses.","Search for happiness in little things."
"Cherche sans relâche","Search relentlessly","/ʃɛʁʃ.sɑ̃.ʁə.lɑʃ/","Les Couleurs - Colors (Phrases)","Il faut cherche sans relâche pour atteindre ses rêves.","You must search relentlessly to achieve your dreams."
"Cherche ton chemin","Search for your path","/ʃɛʁʃ.tɔ̃.ʃə.mɛ̃/","Les Couleurs - Colors (Phrases)","Avec courage, cherche ton chemin dans la vie.","With courage, search for your path in life."
"l’amour","love","/laˈmuːʁ/","Les Émotions - Emotions  ","L’amour et la joie sont des émotions fortes.","Love and joy are strong emotions."
"l’émotion","emotion","/lemoˈsjɔ̃/","Les Émotions - Emotions  ","L’émotion de la joie remplit la fête.","The emotion of joy fills the party."
"la colère","anger","/la kɔˈlɛːʁ/","Les Émotions - Emotions  ","La colère peut cacher l’amour véritable.","Anger can hide true love."
"la joie","joy","/la ʒwa/","Les Émotions - Emotions  ","L’amour et la joie sont des émotions fortes.","Love and joy are strong emotions."
"la peur","fear","/la pœːʁ/","Les Émotions - Emotions  ","La tristesse suit parfois la peur dans la nuit.","Sadness sometimes follows fear in the night."
"la surprise","surprise","/la syʁˈpʁiz/","Les Émotions - Emotions  ","La surprise apporte le bonheur à l’anniversaire.","The surprise brings happiness to the birthday."
"la tristesse","sadness","/la tʁisˈtɛs/","Les Émotions - Emotions  ","La tristesse suit parfois la peur dans la nuit.","Sadness sometimes follows fear in the night."
"le bonheur","happiness","/lə bɔˈnœːʁ/","Les Émotions - Emotions  ","La surprise apporte le bonheur à l’anniversaire.","The surprise brings happiness to the birthday."
"Souris à l’avenir","Smile at the future","/su.ʁi.a.la.və.niʁ/","Les Émotions - Emotions (Phrases)","Malgré les défis, souris à l’avenir.","Despite the challenges, smile at the future."
"Souris à la vie","Smile at life","/su.ʁi.a.la.vi/","Les Émotions - Emotions (Phrases)","Chaque jour, souris à la vie avec optimisme.","Every day, smile at life with optimism."
"Souris aux inconnus","Smile at strangers","/su.ʁi.o.zɛ̃.kɔ.ny/","Les Émotions - Emotions (Phrases)","Souris aux inconnus pour répandre la gentillesse.","Smile at strangers to spread kindness."
"Souris avec douceur","Smile gently","/su.ʁi.a.vɛk.du.sœʁ/","Les Émotions - Emotions (Phrases)","Souris avec douceur pour rassurer un enfant.","Smile gently to reassure a child."
"Souris avec éclat","Smile brightly","/su.ʁi.a.vɛk.e.kla/","Les Émotions - Emotions (Phrases)","Elle souris avec éclat en recevant la nouvelle.","She smiles brightly upon receiving the news."
"Souris en secret","Smile in secret","/su.ʁi.ɑ̃.sə.ɡʁɛ/","Les Émotions - Emotions (Phrases)","Il souris en secret en pensant à son ami.","He smiles in secret thinking of his friend."
"Souris sans raison","Smile without reason","/su.ʁi.sɑ̃.ʁɛ.zɔ̃/","Les Émotions - Emotions (Phrases)","Parfois il est bon de souris sans raison.","Sometimes it’s good to smile without reason."
"Souris sous le soleil","Smile under the sun","/su.ʁi.su.lə.sɔ.lɛj/","Les Émotions - Emotions (Phrases)","En vacances, souris sous le soleil.","During the holidays, smile under the sun."
"l’anniversaire","birthday","/laniˈvɛʁsɛːʁ/","Les Fêtes - Holidays  ","J’offre le cadeau pour l’anniversaire dans la célébration.","I give the gift for the birthday during the celebration."
"la célébration","celebration","/la selebʁaˈsjɔ̃/","Les Fêtes - Holidays  ","La célébration commence avec le cadeau sous le sapin.","The celebration begins with the gift under the Christmas tree."
"la décoration","decoration","/la dekɔʁaˈsjɔ̃/","Les Fêtes - Holidays  ","La décoration illumine la fête avec le feu d’artifice.","The decoration lights up the holiday with the firework."
"la fête","holiday","/la fɛt/","Les Fêtes - Holidays  ","La fête de Noël inclut le sapin décoré.","The Christmas holiday includes the decorated Christmas tree."
"le cadeau","gift","/lə kaˈdo/","Les Fêtes - Holidays  ","J’offre le cadeau pour l’anniversaire dans la célébration.","I give the gift for the birthday during the celebration."
"le feu d’artifice","firework","/lə fø daʁtiˈfis/","Les Fêtes - Holidays  ","La décoration illumine la fête avec le feu d’artifice.","The decoration lights up the holiday with the firework."
"le sapin","Christmas tree","/lə saˈpɛ̃/","Les Fêtes - Holidays  ","Le sapin est au centre de Noël.","The Christmas tree is at the center of Christmas."
"Noël","Christmas","/noˈɛl/","Les Fêtes - Holidays  ","La fête de Noël inclut le sapin décoré.","The Christmas holiday includes the decorated Christmas tree."
"Inspire avec force","Inspire with strength","/ɛ̃s.piʁ.a.vɛk.fɔʁs/","Les Fêtes - Holidays (Phrases)","Inspire avec force ceux qui doutent.","Inspire with strength those who doubt."
"Inspire en douceur","Inspire gently","/ɛ̃s.piʁ.ɑ̃.du.sœʁ/","Les Fêtes - Holidays (Phrases)","Inspire en douceur pour apaiser les cœurs.","Inspire gently to soothe hearts."
"Inspire la créativité","Inspire creativity","/ɛ̃s.piʁ.la.kʁe.a.ti.vi.te/","Les Fêtes - Holidays (Phrases)","Inspire la créativité chez les jeunes.","Inspire creativity in young people."
"Inspire les autres","Inspire others","/ɛ̃s.piʁ.lez.o.tʁə/","Les Fêtes - Holidays (Phrases)","Inspire les autres par tes actions positives.","Inspire others through your positive actions."
"Inspire par l’exemple","Inspire by example","/ɛ̃s.piʁ.paʁ.lɛɡ.zɑ̃pl/","Les Fêtes - Holidays (Phrases)","Toujours inspire par l’exemple plutôt que par les mots.","Always inspire by example rather than words."
"Inspire par ta lumière","Inspire with your light","/ɛ̃s.piʁ.paʁ.ta.ly.mjɛʁ/","Les Fêtes - Holidays (Phrases)","Inspire par ta lumière ceux qui t’entourent.","Inspire with your light those around you."
"Inspire sans mots","Inspire without words","/ɛ̃s.piʁ.sɑ̃.mo/","Les Fêtes - Holidays (Phrases)","Parfois tu peux inspire sans mots.","Sometimes you can inspire without words."
"Inspire un changement","Inspire a change","/ɛ̃s.piʁ.œ̃.ʃɑ̃ʒ.mɑ̃/","Les Fêtes - Holidays (Phrases)","Inspire un changement dans ta communauté.","Inspire a change in your community."
"la danse","dance","/la dɑ̃s/","Les Loisirs - Hobbies","Le sport et la danse sont populaires au cinéma.","Sports and dance are popular in cinema."
"la lecture","reading","/la lɛkˈtyːʁ/","Les Loisirs - Hobbies","La lecture d’un livre est un bon jeu pour les enfants.","Reading a book is a good game for children."
"la musique","music","/la myˈzik/","Les Loisirs - Hobbies","Le loisir préféré de mon ami est la musique.","My friend’s favorite hobby is music."
"la peinture","painting","/la pɛ̃ˈtyːʁ/","Les Loisirs - Hobbies","La peinture et la musique inspirent beaucoup de gens.","Painting and music inspire many people."
"le cinéma","cinema","/lə siˈnema/","Les Loisirs - Hobbies","Je vais au cinéma après avoir fini la lecture.","I go to the cinema after finishing reading."
"le jeu","game","/lə ʒø/","Les Loisirs - Hobbies","La lecture d’un livre est un bon jeu pour les enfants.","Reading a book is a good game for children."
"le loisir","hobby","/lə lwaˈziːʁ/","Les Loisirs - Hobbies","Le loisir préféré de mon ami est la musique.","My friend’s favorite hobby is music."
"le sport","sport","/lə spɔːʁ/","Les Loisirs - Hobbies","Le sport et la danse sont populaires au cinéma.","Sports and dance are popular in cinema."
"Danse avec grâce","Dance with grace","/dɑ̃s.a.vɛk.ɡʁas/","Les Loisirs - Hobbies (Phrases)","Danse avec grâce dans la peinture.","Dance with grace in the painting."
"Danse avec passion","Dance with passion","/dɑ̃s.a.vɛk.pa.sjɔ̃/","Les Loisirs - Hobbies (Phrases)","Danse avec passion au cinéma.","Dance with passion at the cinema."
"Danse comme personne","Dance like nobody’s watching","/dɑ̃s.kɔm.pɛʁ.sɔn/","Les Loisirs - Hobbies (Phrases)","Danse comme personne pendant le loisir.","Dance like nobody’s watching during the hobby."
"Danse en rythme","Dance in rhythm","/dɑ̃s.ɑ̃.ʁit.mə/","Les Loisirs - Hobbies (Phrases)","Danse en rythme avec la musique.","Dance in rhythm with the music."
"Danse lentement","Dance slowly","/dɑ̃s.lɑ̃t.mɑ̃/","Les Loisirs - Hobbies (Phrases)","Danse lentement pendant la musique douce.","Dance slowly during soft music."
"Danse sans peur","Dance without fear","/dɑ̃s.sɑ̃.pœʁ/","Les Loisirs - Hobbies (Phrases)","Danse sans peur lors de la soirée jeu.","Dance without fear during the game night."
"Danse sous les étoiles","Dance under the stars","/dɑ̃s.su.lez.e.twal/","Les Loisirs - Hobbies (Phrases)","Danse sous les étoiles après la lecture.","Dance under the stars after reading."
"Danse toute la journée","Dance all day","/dɑ̃s.tut.la.ʒuʁ.ne/","Les Loisirs - Hobbies (Phrases)","Danse toute la journée pour le sport.","Dance all day for the sport."
"l’enseignant","teacher (male)","/lɑ̃seˈɲɑ̃/","Les Métiers - Professions  ","L’enseignant et l’infirmier travaillent avec le cuisinier.","The teacher and nurse work with the chef."
"l’infirmier","nurse (male)","/lɛ̃fiʁˈmje/","Les Métiers - Professions  ","L’enseignant et l’infirmier travaillent avec le cuisinier.","The teacher and nurse work with the chef."
"l’ingénieur","engineer","/lɛ̃ʒeˈnjœːʁ/","Les Métiers - Professions  ","L’ingénieur collabore avec le vendeur sur un projet.","The engineer collaborates with the salesperson on a project."
"le cuisinier","chef","/lə kɥiziˈnje/","Les Métiers - Professions  ","Le cuisinier apprend des techniques de l’enseignant.","The chef learns techniques from the teacher."
"le médecin","doctor","/lə medˈsɛ̃/","Les Métiers - Professions  ","Le métier de le médecin est important pour la santé.","The profession of doctor is important for health."
"le métier","profession","/lə meˈtje/","Les Métiers - Professions  ","Le métier de le médecin est important pour la santé.","The profession of doctor is important for health."
"le pompier","firefighter","/lə pɔ̃ˈpje/","Les Métiers - Professions  ","Le pompier sauve des vies, tout comme le médecin.", "The firefighter saves lives, just like the doctor."
"le vendeur","salesperson","/lə vɑ̃ˈdœːʁ/","Les Métiers - Professions  ","L’ingénieur collabore avec le vendeur sur un projet.","The engineer collaborates with the salesperson on a project."
"Voyage avec audace","Travel with boldness","/vwa.jaʒ.a.vɛk.o.das/","Les Métiers - Professions (Phrases)","Voyage avec audace pour vivre des expériences uniques.","Travel with boldness to live unique experiences."
"Voyage avec légèreté","Travel with lightness","/vwa.jaʒ.a.vɛk.le.ʒɛʁ.te/","Les Métiers - Professions (Phrases)","Voyage avec légèreté et profite de chaque instant.","Travel with lightness and enjoy every moment."
"Voyage dans le temps","Travel through time","/vwa.jaʒ.dɑ̃.lə.tɑ̃/","Les Métiers - Professions (Phrases)","En lisant un livre, tu peux voyage dans le temps.","By reading a book, you can travel through time."
"Voyage en solitude","Travel in solitude","/vwa.jaʒ.ɑ̃.sɔ.li.tyd/","Les Métiers - Professions (Phrases)","Parfois, voyage en solitude pour mieux te retrouver.","Sometimes, travel in solitude to better find yourself."
"Voyage pour découvrir","Travel to discover","/vwa.jaʒ.puʁ.de.ku.vʁiʁ/","Les Métiers - Professions (Phrases)","Voyage pour découvrir de nouvelles cultures.","Travel to discover new cultures."
"Voyage sans fin","Travel endlessly","/vwa.jaʒ.sɑ̃.fɛ̃/","Les Métiers - Professions (Phrases)","Les rêves te font voyage sans fin.","Dreams make you travel endlessly."
"Voyage sous les cieux","Travel under the skies","/vwa.jaʒ.su.le.sjø/","Les Métiers - Professions (Phrases)","Ils adorent voyage sous les cieux étoilés.","They love to travel under the starry skies."
"Voyage vers l’inconnu","Travel toward the unknown","/vwa.jaʒ.vɛʁ.lɛ̃.kɔ.ny/","Les Métiers - Professions (Phrases)","Il aime voyage vers l’inconnu pour découvrir le monde.","He likes to travel toward the unknown to discover the world."
"l’arbre","tree","/laʁbʁ/","Les Plantes - Plants  ","L’arbre pousse avec la racine profonde et l’herbe autour.","The tree grows with deep roots and grass around."
"l’herbe","grass","/lɛʁb/","Les Plantes - Plants  ","L’arbre pousse avec la racine profonde et l’herbe autour.","The tree grows with deep roots and grass around."
"la feuille","leaf","/la fœj/","Les Plantes - Plants  ","La feuille sur la tige est verte et brillante.","The leaf on the stem is green and shiny."
"la fleur","flower","/la flœːʁ/","Les Plantes - Plants  ","La plante dans le jardin a une belle fleur.","The plant in the garden has a beautiful flower."
"la plante","plant","/la plɑ̃t/","Les Plantes - Plants  ","La plante dans le jardin a une belle fleur.","The plant in the garden has a beautiful flower."
"la racine","root","/la ʁaˈsin/","Les Plantes - Plants  ","L’arbre pousse avec la racine profonde et l’herbe autour.","The tree grows with deep roots and grass around."
"la tige","stem","/la tiʒ/","Les Plantes - Plants  ","La feuille sur la tige est verte et brillante.","The leaf on the stem is green and shiny."
"le fruit","fruit","/lə fʁɥi/","Les Plantes - Plants  ","Le fruit tombe de l’arbre près de la plante.","The fruit falls from the tree near the plant."
"Respire à pleins poumons","Breathe with full lungs","/ʁɛs.piʁ.a.plɛ̃.pu.mɔ̃/","Les Plantes - Plants (Phrases)","Après la course, respire à pleins poumons.","After the race, breathe with full lungs."
"Respire avec calme","Breathe calmly","/ʁɛs.piʁ.a.vɛk.kalm/","Les Plantes - Plants (Phrases)","Dans les moments difficiles, respire avec calme.","In difficult moments, breathe calmly."
"Respire en paix","Breathe in peace","/ʁɛs.piʁ.ɑ̃.pɛ/","Les Plantes - Plants (Phrases)","Sous les étoiles, respire en paix.","Under the stars, breathe in peace."
"Respire l’air pur","Breathe fresh air","/ʁɛs.piʁ.lɛʁ.pyʁ/","Les Plantes - Plants (Phrases)","Au bord de la mer, respire l’air pur.","At the edge of the sea, breathe fresh air."
"Respire la fraîcheur","Breathe the freshness","/ʁɛs.piʁ.la.fʁɛ.ʃœʁ/","Les Plantes - Plants (Phrases)","Respire la fraîcheur du matin.","Breathe the freshness of the morning."
"Respire la liberté","Breathe freedom","/ʁɛs.piʁ.la.li.bɛʁ.te/","Les Plantes - Plants (Phrases)","Sur la montagne, respire la liberté.","On the mountain, breathe freedom."
"Respire profondément","Breathe deeply","/ʁɛs.piʁ.pʁɔ.fɔ̃.de.mɑ̃/","Les Plantes - Plants (Phrases)","Chaque matin, respire profondément pour commencer la journée.","Every morning, breathe deeply to start the day."
"Respire sous le ciel","Breathe under the sky","/ʁɛs.piʁ.su.lə.sjɛl/","Les Plantes - Plants (Phrases)","Respire sous le ciel bleu d’été.","Breathe under the blue summer sky."
"l’automne","autumn","/loˈtɔn/","Les Saisons - Seasons  ","L’automne apporte des feuilles et la neige suit en hiver.","Autumn brings leaves and snow follows in winter."
"l’été","summer","/leˈte/","Les Saisons - Seasons  ","L’été est chaud, mais la pluie arrive parfois.","Summer is hot, but rain sometimes comes."
"l’hiver","winter","/liˈvɛːʁ/","Les Saisons - Seasons  ","La neige couvre le sol en hiver.","Snow covers the ground in winter."
"la neige","snow","/la nɛːʒ/","Les Saisons - Seasons  ","La neige couvre le sol en hiver.","Snow covers the ground in winter."
"la pluie","rain","/la plɥi/","Les Saisons - Seasons  ","L’été est chaud, mais la pluie arrive parfois.","Summer is hot, but rain sometimes comes."
"la saison","season","/la sɛˈzɔ̃/","Les Saisons - Seasons  ","La saison préférée est le printemps avec le soleil.","The favorite season is spring with the sun."
"le printemps","spring","/lə pʁɛ̃ˈtɑ̃/","Les Saisons - Seasons  ","La saison préférée est le printemps avec le soleil.","The favorite season is spring with the sun."
"le soleil","sun","/lə sɔˈlɛj/","Les Saisons - Seasons  ","Le soleil brille fort pendant l’été.","The sun shines brightly during summer."
"Écris avec soin","Write with care","/e.kʁi.a.vɛk.swɛ̃/","Les Saisons - Seasons (Phrases)","Toujours prends le temps d’écris avec soin.","Always take the time to write with care."
"Écris la vérité","Write the truth","/e.kʁi.la.ve.ʁi.te/","Les Saisons - Seasons (Phrases)","N’aie pas peur, écris la vérité.","Don’t be afraid, write the truth."
"Écris pour toi","Write for yourself","/e.kʁi.puʁ.twa/","Les Saisons - Seasons (Phrases)","Parfois il est important d’écris pour toi seul.","Sometimes it’s important to write for yourself alone."
"Écris sans peur","Write without fear","/e.kʁi.sɑ̃.pœʁ/","Les Saisons - Seasons (Phrases)","Écris sans peur ce que tu ressens.","Write without fear what you feel."
"Écris sous les étoiles","Write under the stars","/e.kʁi.su.lez.e.twal/","Les Saisons - Seasons (Phrases)","Ils aiment écris sous les étoiles pendant l’été.","They like to write under the stars during summer."
"Écris tes pensées","Write your thoughts","/e.kʁi.te.pɑ̃.se/","Les Saisons - Seasons (Phrases)","Chaque soir, écris tes pensées dans un journal.","Every night, write your thoughts in a journal."
"Écris ton histoire","Write your story","/e.kʁi.tɔ̃.nis.twaʁ/","Les Saisons - Seasons (Phrases)","Écris ton histoire avec courage et inspiration.","Write your story with courage and inspiration."
"Écris un poème","Write a poem","/e.kʁi.œ̃.pɔ.ɛm/","Les Saisons - Seasons (Phrases)","Elle aime écris un poème quand elle est inspirée.","She likes to write a poem when she is inspired."
"l’équipe","team","/leˈkip/","Les Sports - Sports  ","La piscine accueille l’équipe pour le match.","The swimming pool hosts the team for the match."
